Aikaleima;Spot-hinta (snt/kWh alv 25.5%);Kulutus (kWh)
00:00 01.01.2024;"4,96";"1,38"
00:15 01.01.2024;"4,96";"1,38"
00:30 01.01.2024;"4,96";"1,38"
00:45 01.01.2024;"4,96";"1,38"
01:00 01.01.2024;"4,76";"0,71"
01:15 01.01.2024;"4,76";"0,71"
01:30 01.01.2024;"4,76";"0,71"
01:45 01.01.2024;"4,76";"0,71"
02:00 01.01.2024;"3,53";"0,14"
02:15 01.01.2024;"3,53";"0,14"
02:30 01.01.2024;"3,53";"0,14"
02:45 01.01.2024;"3,53";"0,14"
03:00 01.01.2024;"3,31";"1,36"
03:15 01.01.2024;"3,31";"1,36"
03:30 01.01.2024;"3,31";"1,36"
03:45 01.01.2024;"3,31";"1,36"
04:00 01.01.2024;"3,04";"0,13"
04:15 01.01.2024;"3,04";"0,13"
04:30 01.01.2024;"3,04";"0,13"
04:45 01.01.2024;"3,04";"0,13"
05:00 01.01.2024;"2,98";"0,61"
05:15 01.01.2024;"2,98";"0,61"
05:30 01.01.2024;"2,98";"0,61"
05:45 01.01.2024;"2,98";"0,61"
06:00 01.01.2024;"2,63";"0,91"
06:15 01.01.2024;"2,63";"0,91"
06:30 01.01.2024;"2,63";"0,91"
06:45 01.01.2024;"2,63";"0,91"
07:00 01.01.2024;"2,80";"0,59"
07:15 01.01.2024;"2,80";"0,59"
07:30 01.01.2024;"2,80";"0,59"
07:45 01.01.2024;"2,80";"0,59"
08:00 01.01.2024;"3,10";"1,28"
08:15 01.01.2024;"3,10";"1,28"
08:30 01.01.2024;"3,10";"1,28"
08:45 01.01.2024;"3,10";"1,28"
09:00 01.01.2024;"3,25";"0,18"
09:15 01.01.2024;"3,25";"0,18"
09:30 01.01.2024;"3,25";"0,18"
09:45 01.01.2024;"3,25";"0,18"
10:00 01.01.2024;"3,99";"1,04"
10:15 01.01.2024;"3,99";"1,04"
10:30 01.01.2024;"3,99";"1,04"
10:45 01.01.2024;"3,99";"1,04"
11:00 01.01.2024;"5,13";"0,90"
11:15 01.01.2024;"5,13";"0,90"
11:30 01.01.2024;"5,13";"0,90"
11:45 01.01.2024;"5,13";"0,90"
12:00 01.01.2024;"5,40";"0,37"
12:15 01.01.2024;"5,40";"0,37"
12:30 01.01.2024;"5,40";"0,37"
12:45 01.01.2024;"5,40";"0,37"
13:00 01.01.2024;"7,27";"1,72"
13:15 01.01.2024;"7,27";"1,72"
13:30 01.01.2024;"7,27";"1,72"
13:45 01.01.2024;"7,27";"1,72"
14:00 01.01.2024;"7,58";"0,53"
14:15 01.01.2024;"7,58";"0,53"
14:30 01.01.2024;"7,58";"0,53"
14:45 01.01.2024;"7,58";"0,53"
15:00 01.01.2024;"7,48";"1,26"
15:15 01.01.2024;"7,48";"1,26"
15:30 01.01.2024;"7,48";"1,26"
15:45 01.01.2024;"7,48";"1,26"
16:00 01.01.2024;"9,62";"0,96"
16:15 01.01.2024;"9,62";"0,96"
16:30 01.01.2024;"9,62";"0,96"
16:45 01.01.2024;"9,62";"0,96"
17:00 01.01.2024;"8,48";"0,78"
17:15 01.01.2024;"8,48";"0,78"
17:30 01.01.2024;"8,48";"0,78"
17:45 01.01.2024;"8,48";"0,78"
18:00 01.01.2024;"9,20";"1,68"
18:15 01.01.2024;"9,20";"1,68"
18:30 01.01.2024;"9,20";"1,68"
18:45 01.01.2024;"9,20";"1,68"
19:00 01.01.2024;"8,06";"0,48"
19:15 01.01.2024;"8,06";"0,48"
19:30 01.01.2024;"8,06";"0,48"
19:45 01.01.2024;"8,06";"0,48"
20:00 01.01.2024;"6,93";"1,60"
20:15 01.01.2024;"6,93";"1,60"
20:30 01.01.2024;"6,93";"1,60"
20:45 01.01.2024;"6,93";"1,60"
21:00 01.01.2024;"5,97";"0,84"
21:15 01.01.2024;"5,97";"0,84"
21:30 01.01.2024;"5,97";"0,84"
21:45 01.01.2024;"5,97";"0,84"
22:00 01.01.2024;"8,05";"1,82"
22:15 01.01.2024;"8,05";"1,82"
22:30 01.01.2024;"8,05";"1,82"
22:45 01.01.2024;"8,05";"1,82"
23:00 01.01.2024;"6,65";"1,59"
23:15 01.01.2024;"6,65";"1,59"
23:30 01.01.2024;"6,65";"1,59"
23:45 01.01.2024;"6,65";"1,59"
00:00 02.01.2024;"5,45";"0,45"
00:15 02.01.2024;"5,45";"0,45"
00:30 02.01.2024;"5,45";"0,45"
00:45 02.01.2024;"5,45";"0,45"
01:00 02.01.2024;"6,88";"1,54"
01:15 02.01.2024;"6,88";"1,54"
01:30 02.01.2024;"6,88";"1,54"
01:45 02.01.2024;"6,88";"1,54"
02:00 02.01.2024;"6,19";"0,12"
02:15 02.01.2024;"6,19";"0,12"
02:30 02.01.2024;"6,19";"0,12"
02:45 02.01.2024;"6,19";"0,12"
03:00 02.01.2024;"5,86";"1,17"
03:15 02.01.2024;"5,86";"1,17"
03:30 02.01.2024;"5,86";"1,17"
03:45 02.01.2024;"5,86";"1,17"
04:00 02.01.2024;"6,63";"0,31"
04:15 02.01.2024;"6,63";"0,31"
04:30 02.01.2024;"6,63";"0,31"
04:45 02.01.2024;"6,63";"0,31"
05:00 02.01.2024;"9,48";"0,73"
05:15 02.01.2024;"9,48";"0,73"
05:30 02.01.2024;"9,48";"0,73"
05:45 02.01.2024;"9,48";"0,73"
06:00 02.01.2024;"22,33";"0,80"
06:15 02.01.2024;"22,33";"0,80"
06:30 02.01.2024;"22,33";"0,80"
06:45 02.01.2024;"22,33";"0,80"
07:00 02.01.2024;"31,00";"0,49"
07:15 02.01.2024;"31,00";"0,49"
07:30 02.01.2024;"31,00";"0,49"
07:45 02.01.2024;"31,00";"0,49"
08:00 02.01.2024;"59,90";"1,27"
08:15 02.01.2024;"59,90";"1,27"
08:30 02.01.2024;"59,90";"1,27"
08:45 02.01.2024;"59,90";"1,27"
09:00 02.01.2024;"37,21";"0,18"
09:15 02.01.2024;"37,21";"0,18"
09:30 02.01.2024;"37,21";"0,18"
09:45 02.01.2024;"37,21";"0,18"
10:00 02.01.2024;"31,00";"1,28"
10:15 02.01.2024;"31,00";"1,28"
10:30 02.01.2024;"31,00";"1,28"
10:45 02.01.2024;"31,00";"1,28"
11:00 02.01.2024;"30,00";"0,72"
11:15 02.01.2024;"30,00";"0,72"
11:30 02.01.2024;"30,00";"0,72"
11:45 02.01.2024;"30,00";"0,72"
12:00 02.01.2024;"19,77";"1,08"
12:15 02.01.2024;"19,77";"1,08"
12:30 02.01.2024;"19,77";"1,08"
12:45 02.01.2024;"19,77";"1,08"
13:00 02.01.2024;"18,60";"1,16"
13:15 02.01.2024;"18,60";"1,16"
13:30 02.01.2024;"18,60";"1,16"
13:45 02.01.2024;"18,60";"1,16"
14:00 02.01.2024;"18,60";"0,20"
14:15 02.01.2024;"18,60";"0,20"
14:30 02.01.2024;"18,60";"0,20"
14:45 02.01.2024;"18,60";"0,20"
15:00 02.01.2024;"20,56";"1,53"
15:15 02.01.2024;"20,56";"1,53"
15:30 02.01.2024;"20,56";"1,53"
15:45 02.01.2024;"20,56";"1,53"
16:00 02.01.2024;"31,00";"0,35"
16:15 02.01.2024;"31,00";"0,35"
16:30 02.01.2024;"31,00";"0,35"
16:45 02.01.2024;"31,00";"0,35"
17:00 02.01.2024;"28,05";"0,85"
17:15 02.01.2024;"28,05";"0,85"
17:30 02.01.2024;"28,05";"0,85"
17:45 02.01.2024;"28,05";"0,85"
18:00 02.01.2024;"24,42";"1,06"
18:15 02.01.2024;"24,42";"1,06"
18:30 02.01.2024;"24,42";"1,06"
18:45 02.01.2024;"24,42";"1,06"
19:00 02.01.2024;"31,00";"0,21"
19:15 02.01.2024;"31,00";"0,21"
19:30 02.01.2024;"31,00";"0,21"
19:45 02.01.2024;"31,00";"0,21"
20:00 02.01.2024;"24,42";"1,55"
20:15 02.01.2024;"24,42";"1,55"
20:30 02.01.2024;"24,42";"1,55"
20:45 02.01.2024;"24,42";"1,55"
21:00 02.01.2024;"13,11";"0,88"
21:15 02.01.2024;"13,11";"0,88"
21:30 02.01.2024;"13,11";"0,88"
21:45 02.01.2024;"13,11";"0,88"
22:00 02.01.2024;"18,54";"0,92"
22:15 02.01.2024;"18,54";"0,92"
22:30 02.01.2024;"18,54";"0,92"
22:45 02.01.2024;"18,54";"0,92"
23:00 02.01.2024;"11,21";"1,58"
23:15 02.01.2024;"11,21";"1,58"
23:30 02.01.2024;"11,21";"1,58"
23:45 02.01.2024;"11,21";"1,58"
00:00 03.01.2024;"10,75";"0,53"
00:15 03.01.2024;"10,75";"0,53"
00:30 03.01.2024;"10,75";"0,53"
00:45 03.01.2024;"10,75";"0,53"
01:00 03.01.2024;"6,09";"0,63"
01:15 03.01.2024;"6,09";"0,63"
01:30 03.01.2024;"6,09";"0,63"
01:45 03.01.2024;"6,09";"0,63"
02:00 03.01.2024;"7,04";"0,93"
02:15 03.01.2024;"7,04";"0,93"
02:30 03.01.2024;"7,04";"0,93"
02:45 03.01.2024;"7,04";"0,93"
03:00 03.01.2024;"6,96";"0,12"
03:15 03.01.2024;"6,96";"0,12"
03:30 03.01.2024;"6,96";"0,12"
03:45 03.01.2024;"6,96";"0,12"
04:00 03.01.2024;"7,19";"1,17"
04:15 03.01.2024;"7,19";"1,17"
