Aikaleima;Spot-hinta (snt/kWh alv 25.5%);Kulutus (kWh)
00:00 01.01.2024;"4,96";"5,50"
01:00 01.01.2024;"4,76";"2,85"
02:00 01.01.2024;"3,53";"0,58"
03:00 01.01.2024;"3,31";"5,46"
04:00 01.01.2024;"3,04";"0,50"
05:00 01.01.2024;"2,98";"2,46"
06:00 01.01.2024;"2,63";"3,64"
07:00 01.01.2024;"2,80";"2,36"
08:00 01.01.2024;"3,10";"5,12"
09:00 01.01.2024;"3,25";"0,74"
10:00 01.01.2024;"3,99";"4,18"
11:00 01.01.2024;"5,13";"3,60"
12:00 01.01.2024;"5,40";"1,47"
13:00 01.01.2024;"7,27";"6,89"
14:00 01.01.2024;"7,58";"2,11"
15:00 01.01.2024;"7,48";"5,06"
16:00 01.01.2024;"9,62";"3,84"
17:00 01.01.2024;"8,48";"3,10"
18:00 01.01.2024;"9,20";"6,72"
19:00 01.01.2024;"8,06";"1,92"
20:00 01.01.2024;"6,93";"6,40"
21:00 01.01.2024;"5,97";"3,36"
22:00 01.01.2024;"8,05";"7,28"
23:00 01.01.2024;"6,65";"6,38"
00:00 02.01.2024;"5,45";"1,78"
01:00 02.01.2024;"6,88";"6,16"
02:00 02.01.2024;"6,19";"0,48"
03:00 02.01.2024;"5,86";"4,67"
04:00 02.01.2024;"6,63";"1,24"
05:00 02.01.2024;"9,48";"2,92"
06:00 02.01.2024;"22,33";"3,20"
07:00 02.01.2024;"31,00";"1,96"
08:00 02.01.2024;"59,90";"5,07"
09:00 02.01.2024;"37,21";"0,71"
10:00 02.01.2024;"31,00";"5,14"
11:00 02.01.2024;"30,00";"2,89"
12:00 02.01.2024;"19,77";"4,33"
13:00 02.01.2024;"18,60";"4,62"
14:00 02.01.2024;"18,60";"0,80"
15:00 02.01.2024;"20,56";"6,12"
16:00 02.01.2024;"31,00";"1,41"
17:00 02.01.2024;"28,05";"3,41"
18:00 02.01.2024;"24,42";"4,25"
19:00 02.01.2024;"31,00";"0,85"
20:00 02.01.2024;"24,42";"6,19"
21:00 02.01.2024;"13,11";"3,53"
22:00 02.01.2024;"18,54";"3,68"
23:00 02.01.2024;"11,21";"6,32"
00:00 03.01.2024;"10,75";"2,11"
01:00 03.01.2024;"6,09";"2,52"
02:00 03.01.2024;"7,04";"3,70"
03:00 03.01.2024;"6,96";"0,47"
04:00 03.01.2024;"7,19";"4,69"
05:00 03.01.2024;"8,70";"1,51"
06:00 03.01.2024;"10,75";"2,91"
07:00 03.01.2024;"14,73";"5,89"
08:00 03.01.2024;"16,31";"1,25"
09:00 03.01.2024;"16,49";"5,97"
10:00 03.01.2024;"15,97";"0,67"
11:00 03.01.2024;"12,27";"5,41"
12:00 03.01.2024;"16,11";"2,58"
13:00 03.01.2024;"14,73";"4,64"
14:00 03.01.2024;"12,03";"2,76"
15:00 03.01.2024;"11,93";"3,41"
16:00 03.01.2024;"14,76";"5,15"
17:00 03.01.2024;"16,11";"2,14"
18:00 03.01.2024;"18,30";"4,93"
19:00 03.01.2024;"14,73";"2,57"
20:00 03.01.2024;"12,29";"7,90"
21:00 03.01.2024;"10,64";"2,40"
22:00 03.01.2024;"12,39";"6,38"
23:00 03.01.2024;"10,78";"5,90"
00:00 04.01.2024;"7,24";"2,78"
01:00 04.01.2024;"16,03";"4,60"
02:00 04.01.2024;"13,19";"1,28"
03:00 04.01.2024;"11,71";"5,05"
04:00 04.01.2024;"12,13";"1,23"
05:00 04.01.2024;"15,06";"4,73"
06:00 04.01.2024;"22,35";"2,00"
07:00 04.01.2024;"37,20";"6,04"
08:00 04.01.2024;"47,03";"0,78"
09:00 04.01.2024;"37,20";"5,65"
10:00 04.01.2024;"37,20";"0,86"
11:00 04.01.2024;"37,21";"5,99"
12:00 04.01.2024;"37,20";"1,31"
13:00 04.01.2024;"37,20";"5,56"
14:00 04.01.2024;"36,73";"1,53"
15:00 04.01.2024;"37,20";"5,35"
16:00 04.01.2024;"44,91";"2,23"
17:00 04.01.2024;"37,20";"5,60"
18:00 04.01.2024;"37,20";"2,98"
19:00 04.01.2024;"31,00";"6,05"
20:00 04.01.2024;"25,26";"5,22"
21:00 04.01.2024;"18,60";"5,21"
22:00 04.01.2024;"18,60";"5,36"
23:00 04.01.2024;"17,74";"3,78"
00:00 05.01.2024;"13,78";"4,58"
01:00 05.01.2024;"21,08";"2,17"
02:00 05.01.2024;"18,61";"3,82"
03:00 05.01.2024;"18,61";"2,81"
04:00 05.01.2024;"18,61";"3,34"
05:00 05.01.2024;"18,61";"3,11"
06:00 05.01.2024;"43,40";"3,14"
07:00 05.01.2024;"123,99";"4,68"
08:00 05.01.2024;"183,38";"3,45"
09:00 05.01.2024;"155,21";"4,50"
10:00 05.01.2024;"124,00";"5,31"
11:00 05.01.2024;"124,00";"2,91"
12:00 05.01.2024;"99,20";"5,25"
13:00 05.01.2024;"123,99";"2,54"
14:00 05.01.2024;"111,48";"6,18"
15:00 05.01.2024;"124,00";"2,31"
16:00 05.01.2024;"210,34";"5,83"
17:00 05.01.2024;"217,99";"3,04"
18:00 05.01.2024;"183,39";"5,18"
19:00 05.01.2024;"235,10";"3,64"
20:00 05.01.2024;"217,50";"6,46"
21:00 05.01.2024;"122,77";"7,07"
22:00 05.01.2024;"92,99";"3,81"
23:00 05.01.2024;"37,20";"5,87"
00:00 06.01.2024;"24,80";"6,43"
01:00 06.01.2024;"13,79";"1,18"
02:00 06.01.2024;"14,13";"5,72"
03:00 06.01.2024;"13,72";"0,92"
04:00 06.01.2024;"14,08";"5,74"
05:00 06.01.2024;"17,57";"0,48"
06:00 06.01.2024;"19,45";"5,44"
07:00 06.01.2024;"16,48";"1,02"
08:00 06.01.2024;"18,32";"5,53"
09:00 06.01.2024;"22,55";"2,62"
10:00 06.01.2024;"22,82";"5,30"
11:00 06.01.2024;"21,87";"5,19"
12:00 06.01.2024;"21,92";"2,75"
13:00 06.01.2024;"22,08";"5,86"
14:00 06.01.2024;"20,01";"1,57"
15:00 06.01.2024;"22,82";"6,29"
16:00 06.01.2024;"24,80";"3,53"
17:00 06.01.2024;"37,20";"6,08"
18:00 06.01.2024;"30,31";"4,96"
19:00 06.01.2024;"24,80";"3,89"
20:00 06.01.2024;"22,29";"8,24"
21:00 06.01.2024;"20,40";"4,19"
22:00 06.01.2024;"21,85";"6,23"
23:00 06.01.2024;"19,73";"6,55"
00:00 07.01.2024;"14,97";"2,95"
01:00 07.01.2024;"11,62";"5,41"
02:00 07.01.2024;"15,96";"0,59"
03:00 07.01.2024;"12,90";"5,52"
04:00 07.01.2024;"11,56";"1,23"
05:00 07.01.2024;"11,56";"3,97"
06:00 07.01.2024;"11,56";"1,83"
07:00 07.01.2024;"10,54";"2,76"
08:00 07.01.2024;"12,01";"3,71"
09:00 07.01.2024;"11,56";"1,12"
10:00 07.01.2024;"14,68";"5,86"
11:00 07.01.2024;"12,09";"1,25"
12:00 07.01.2024;"11,56";"4,17"
13:00 07.01.2024;"11,35";"6,67"
14:00 07.01.2024;"10,85";"1,82"
15:00 07.01.2024;"10,82";"5,92"
16:00 07.01.2024;"11,24";"3,92"
17:00 07.01.2024;"11,93";"2,16"
18:00 07.01.2024;"12,93";"6,14"
19:00 07.01.2024;"13,16";"2,28"
20:00 07.01.2024;"12,84";"5,34"
21:00 07.01.2024;"10,89";"4,57"
22:00 07.01.2024;"11,57";"1,45"
23:00 07.01.2024;"10,72";"2,62"
00:00 08.01.2024;"7,77";"6,14"
01:00 08.01.2024;"9,91";"1,00"
02:00 08.01.2024;"10,09";"0,54"
03:00 08.01.2024;"10,15";"0,73"
04:00 08.01.2024;"9,81";"5,19"
05:00 08.01.2024;"9,73";"0,40"
06:00 08.01.2024;"10,18";"1,36"
07:00 08.01.2024;"11,69";"5,88"
08:00 08.01.2024;"13,79";"0,47"
09:00 08.01.2024;"15,02";"0,40"
10:00 08.01.2024;"14,97";"0,46"
11:00 08.01.2024;"14,12";"5,23"
12:00 08.01.2024;"17,24";"0,86"
13:00 08.01.2024;"19,97";"0,45"
14:00 08.01.2024;"17,10";"1,35"
15:00 08.01.2024;"20,73";"5,00"
16:00 08.01.2024;"20,15";"0,97"
17:00 08.01.2024;"16,11";"0,90"
18:00 08.01.2024;"16,41";"5,70"
19:00 08.01.2024;"16,12";"3,11"
20:00 08.01.2024;"15,14";"1,55"
21:00 08.01.2024;"14,16";"5,69"
22:00 08.01.2024;"12,38";"4,33"
23:00 08.01.2024;"10,11";"1,90"
00:00 09.01.2024;"6,20";"3,39"
01:00 09.01.2024;"3,44";"4,03"
02:00 09.01.2024;"3,31";"0,47"
03:00 09.01.2024;"3,26";"0,39"
04:00 09.01.2024;"3,26";"4,24"
05:00 09.01.2024;"3,33";"1,89"
06:00 09.01.2024;"4,71";"1,31"
07:00 09.01.2024;"8,63";"3,64"
08:00 09.01.2024;"10,01";"2,52"
09:00 09.01.2024;"9,35";"0,87"
10:00 09.01.2024;"9,24";"0,71"
11:00 09.01.2024;"10,08";"0,68"
12:00 09.01.2024;"9,27";"4,93"
13:00 09.01.2024;"8,85";"0,51"
14:00 09.01.2024;"9,82";"0,59"
15:00 09.01.2024;"10,53";"0,80"
16:00 09.01.2024;"11,17";"4,14"
17:00 09.01.2024;"9,68";"2,21"
18:00 09.01.2024;"11,78";"1,23"
19:00 09.01.2024;"16,56";"4,31"
20:00 09.01.2024;"15,67";"3,60"
21:00 09.01.2024;"14,45";"1,57"
22:00 09.01.2024;"12,40";"4,99"
23:00 09.01.2024;"11,16";"3,89"
00:00 10.01.2024;"6,31";"1,09"
01:00 10.01.2024;"4,71";"0,99"
02:00 10.01.2024;"4,29";"0,47"
03:00 10.01.2024;"3,47";"5,21"
04:00 10.01.2024;"3,40";"0,93"
05:00 10.01.2024;"3,98";"0,43"
06:00 10.01.2024;"9,92";"1,82"
07:00 10.01.2024;"10,26";"4,72"
08:00 10.01.2024;"12,01";"0,84"
09:00 10.01.2024;"12,40";"0,41"
10:00 10.01.2024;"9,92";"0,48"
11:00 10.01.2024;"6,21";"5,05"
12:00 10.01.2024;"4,58";"0,48"
13:00 10.01.2024;"4,09";"0,42"
14:00 10.01.2024;"3,45";"0,57"
15:00 10.01.2024;"3,40";"4,76"
16:00 10.01.2024;"3,33";"0,74"
17:00 10.01.2024;"3,26";"0,75"
18:00 10.01.2024;"3,29";"4,54"
19:00 10.01.2024;"3,22";"1,96"
20:00 10.01.2024;"3,15";"1,67"
21:00 10.01.2024;"3,11";"5,25"
22:00 10.01.2024;"3,14";"2,25"
23:00 10.01.2024;"3,03";"4,67"
00:00 11.01.2024;"2,67";"1,08"
01:00 11.01.2024;"2,62";"1,08"
02:00 11.01.2024;"2,71";"0,90"
03:00 11.01.2024;"3,02";"5,66"
04:00 11.01.2024;"3,35";"0,48"
05:00 11.01.2024;"3,57";"0,44"
06:00 11.01.2024;"4,26";"6,16"
07:00 11.01.2024;"5,20";"3,39"
08:00 11.01.2024;"6,64";"0,89"
09:00 11.01.2024;"8,60";"5,29"
10:00 11.01.2024;"11,11";"2,08"
11:00 11.01.2024;"13,64";"0,46"
12:00 11.01.2024;"12,81";"4,82"
13:00 11.01.2024;"11,94";"1,69"
14:00 11.01.2024;"12,28";"0,84"
15:00 11.01.2024;"13,14";"5,96"
16:00 11.01.2024;"15,39";"2,15"
17:00 11.01.2024;"17,59";"3,00"
18:00 11.01.2024;"19,22";"6,50"
19:00 11.01.2024;"24,80";"2,11"
20:00 11.01.2024;"18,03";"5,80"
21:00 11.01.2024;"15,32";"6,69"
22:00 11.01.2024;"13,42";"2,48"
23:00 11.01.2024;"12,40";"5,69"
00:00 12.01.2024;"12,02";"5,41"
01:00 12.01.2024;"11,28";"0,53"
02:00 12.01.2024;"10,93";"5,36"
03:00 12.01.2024;"10,70";"2,32"
04:00 12.01.2024;"10,77";"1,94"
